Material Type,Cost,Strength,Durability,Environmental Impact,Recyclability,Sustainability Rating
Concrete,744.6041152410545,91.31504204279541,23,Medium,No,Medium
Concrete,744.8491905787937,61.3889855453368,31,Medium,No,Medium
Wood,317.93430143691455,53.88130293556155,30,Medium,No,Medium
Steel,545.6198316861564,26.257633843591982,44,Medium,No,Medium
Steel,953.2733549151084,71.66743987319222,13,Medium,No,Medium
Concrete,989.2273464203807,91.20405179460278,18,High,Yes,Low
Steel,365.0757988025545,50.51871689716176,12,Low,Yes,High
Wood,1306.6274062244493,81.57554065760785,27,Low,No,Low
Steel,372.770087368364,27.966809385980092,24,Low,Yes,High
Steel,758.1826878049405,13.013000295892994,23,High,Yes,Low
Concrete,189.6817572751125,15.158152093334175,48,Low,Yes,High
Wood,1198.8271979411131,22.62151802580793,45,Low,Yes,High
Wood,1409.2988416898188,59.528695374794076,34,High,No,Low
Concrete,1084.356532317194,90.36145001324235,27,Low,No,Low
Concrete,956.822049920677,13.170864594008242,18,High,No,Low
Concrete,830.363809380234,55.675792999978256,31,High,Yes,Low
Wood,213.34229473312115,29.853723175262058,20,Medium,Yes,Medium
Wood,964.4281110276169,51.81616937557699,6,High,No,Low
Concrete,1091.212714177498,77.9487650273634,10,Low,No,Low
Wood,1129.5163154751476,37.127772102497275,25,Medium,No,Medium
Concrete,354.00095166887866,52.62146825066278,19,Medium,Yes,Medium
Wood,783.8864400543864,16.37981524881289,9,Low,Yes,High
Wood,1288.7809497841565,39.67565429413745,8,High,No,Low
Steel,858.3331938424167,44.50437497744357,24,Low,No,Low
Steel,395.8213268412764,85.8839423244905,31,Low,Yes,High
Wood,623.5345099929104,91.24736018689696,35,Medium,Yes,Medium
Concrete,1349.2560354188117,54.34798569373373,9,Medium,Yes,Medium
Steel,899.6159795146116,74.22849972958204,29,Low,Yes,High
Steel,964.3486862845671,28.373190302270064,12,Medium,No,Medium
Steel,927.5168821305899,25.510659520460955,40,High,No,Low
Steel,660.6196686009441,27.851739110859853,32,Low,No,Low
Wood,1043.6806089047195,24.06710233227868,7,Medium,Yes,Medium
Concrete,1432.542156863036,24.189407355334815,38,Low,No,Low
Steel,551.1178592047568,17.50752108130561,31,Low,No,Low
Concrete,825.5650982322749,21.454264813580792,45,High,Yes,Low
Steel,1238.5766888892729,17.14002420005774,35,Medium,Yes,Medium
Concrete,1194.1341735741817,62.30239216210108,20,Medium,Yes,Medium
Steel,239.54133148749398,55.561069958599575,38,Low,Yes,High
Concrete,1382.6802836466259,52.897138225213716,5,High,Yes,Low
Steel,945.3886727210293,73.33979363444405,39,Medium,Yes,Medium
Steel,742.7323269567609,73.25182385855547,8,Low,No,Low
Wood,921.2452393328638,66.11494381774448,35,Medium,No,Medium
Wood,261.34291787437536,40.45262399847483,6,Medium,Yes,Medium
Steel,935.1181067387482,92.39762467257398,7,High,Yes,Low
Wood,888.0535861772918,35.55851802068128,36,High,Yes,Low
Wood,652.9734142285595,38.053483867813604,11,Medium,Yes,Medium
Wood,862.6347843469555,76.94732002574683,9,Medium,Yes,Medium
Steel,655.1207151329211,78.15843128378054,44,Low,No,Low
Wood,924.3962023906861,95.85324998952716,38,High,No,Low
Wood,321.4261547134978,62.99041882079627,24,Medium,No,Medium
Steel,460.3782366099314,91.57224065421065,19,High,No,Low
Wood,1073.008014596741,26.918448001314598,41,High,Yes,Low
Wood,1297.363475377956,53.886415201332674,34,High,Yes,Low
Steel,548.2585440056146,71.20896883817198,43,High,Yes,Low
Steel,732.2852510559679,58.212569459111315,44,High,No,Low
Concrete,1090.832515889755,58.79437831398684,38,Medium,No,Medium
Steel,802.0809989493198,75.040658325367,23,Medium,Yes,Medium
Steel,529.9058020925431,72.89947643720049,41,High,Yes,Low
Wood,714.6719743683277,25.93740740598097,21,High,Yes,Low
Steel,327.1555381404794,65.0548903413901,45,Low,Yes,High
Steel,269.69851233765417,71.11770138476163,37,Medium,Yes,Medium
Wood,871.294219099355,21.555447176885103,31,Medium,No,Medium
Steel,1384.0240487775407,75.5949498687679,30,Medium,No,Medium
Concrete,887.9055164346391,12.391424708411336,14,Medium,No,Medium
Wood,1381.9656323564745,77.91636051047394,44,Medium,Yes,Medium
Concrete,575.9067744904753,30.084829934228992,45,Medium,Yes,Medium
Steel,605.9115877189984,12.992931016634143,44,Medium,No,Medium
Wood,1052.9985208049109,13.446499870574597,39,Low,No,Low
Steel,867.4006163936916,27.447738220004297,40,High,Yes,Low
Wood,1332.901896794966,21.741207179054292,32,High,Yes,Low
Steel,1084.0912768569092,60.82467742650562,18,High,Yes,Low
Concrete,923.5712507920298,78.79028368287548,16,Low,Yes,High
Concrete,244.39880456539333,58.579725931114595,39,Medium,No,Medium
Wood,1459.9071018507984,37.62713915278517,28,Medium,No,Medium
Wood,643.9110870788654,20.10549733770732,16,Medium,Yes,Medium
Wood,1014.5484549086314,65.61338551652727,21,High,Yes,Low
Wood,615.5799413565003,65.4716144332116,15,Medium,Yes,Medium
Concrete,1030.1447148565294,78.41735944363577,38,Low,Yes,High
Steel,699.468797793553,63.46021995075257,8,Low,No,Low
Wood,296.63945612983053,29.69805450693781,25,Low,No,Low
Wood,276.17835882847186,11.802887083391518,19,Medium,Yes,Medium
Concrete,336.54456484864954,37.90177131271768,17,Medium,No,Medium
Wood,1295.7485340012122,40.473644537493044,48,Medium,No,Medium
Wood,997.2276569268652,70.15171657035543,8,Low,No,Low
Steel,210.2517479295819,22.368823405837432,31,Low,No,Low
Wood,292.0169079337702,42.46190544687268,30,Medium,Yes,Medium
Concrete,558.2320556757638,64.11208486654225,42,Low,No,Low
Steel,1424.8611370787228,67.56063380136497,9,Low,No,Low
Concrete,1122.5087545850056,72.19068888799535,5,Low,Yes,High
Steel,275.72077992317054,23.011261543631946,41,High,No,Low
Concrete,992.8619943603692,13.438110287969648,43,Medium,Yes,Medium
Wood,589.0650638596842,33.41024476593438,27,Low,Yes,High
Wood,353.8646502078675,75.8536130325288,30,High,Yes,Low
Wood,229.55168304752536,88.1265036504346,43,High,Yes,Low
Concrete,1188.109038690197,19.656023511371938,27,High,Yes,Low
Wood,778.1871171883063,39.23904164586891,38,Low,Yes,High
Steel,1172.5245747277372,99.71502630299688,45,High,No,Low
Wood,1443.6078182130784,85.53595859423535,17,High,No,Low
Concrete,1122.6756882723525,20.288743959175058,42,Low,No,Low
Concrete,285.1722832216217,23.40689681995058,31,High,No,Low
Concrete,246.90922533806793,87.61819412556028,27,High,Yes,Low
Steel,899.9762247639145,66.97126505016807,20,Low,Yes,High
Concrete,276.1553985777829,79.02577360146863,11,High,No,Low
Wood,1094.1086650075758,24.433829758061357,40,Medium,No,Medium
Wood,1021.0874169557535,27.11654299481717,20,High,No,Low
Wood,1103.6526275797137,89.07731590955036,39,Low,No,Low
Concrete,1197.5634330909843,61.431964675823295,49,Medium,Yes,Medium
Concrete,1333.771026907056,91.14193220575332,45,Low,No,Low
Steel,518.903434310204,97.0560820295183,17,High,Yes,Low
Concrete,1197.0112151045441,42.74952788763417,26,Low,Yes,High
Wood,302.75785025923165,31.471746137206562,28,Low,No,Low
Steel,1086.2000868672553,75.52432844342954,31,Low,Yes,High
Concrete,1129.5339365828522,16.43257889899941,26,Low,Yes,High
Concrete,665.6677003378979,25.190222696784335,19,Low,Yes,High
Steel,178.3719544689486,82.53367900598835,37,Low,Yes,High
Concrete,1276.1180982867197,98.96206264552042,26,Low,No,Low
Wood,1435.4239048192167,77.84933111245141,25,High,Yes,Low
Steel,1289.8404511671579,52.4099917671102,41,Medium,No,Medium
Concrete,693.8023053990407,45.68782485632632,48,Low,Yes,High
Steel,738.3044268430446,37.11979078584745,27,Low,Yes,High
Concrete,1160.109240702192,35.91120742012335,27,Low,No,Low
Concrete,1267.0338840052332,81.9245809567375,19,High,Yes,Low
Concrete,834.1264727386196,62.802750248954915,45,Low,Yes,High
